PerimeterDimA,,DimB,Roundness,AspectRatio,Area,MeanH,MeanS,MeanV,SeedType
-0.613801531,-0.532662885,-0.74899876,-0.626910895,0.625479924,-0.626910895,0.156941542,0.664784849,1.861816036,WhitePure
0.718787523,0.738207602,0.452594412,0.842309128,0.30204384,0.842309128,0.59521433,0.561008396,0.79413845,WhitePure
1.469059087,1.754903991,1.053390998,1.611679865,0.772496325,1.611679865,0.757028313,-0.244902856,1.026950046,WhitePure
-0.186870331,-0.278488788,-0.148202174,-0.27466887,-0.272953642,-0.27466887,1.286371717,-1.064562828,2.200475696,WhitePure
0.166811078,0.229859407,-0.148202174,0.077573154,0.685375495,0.077573154,0.64744347,-0.007186113,1.909264741,WhitePure
-0.562006087,-0.532662885,-0.74899876,-0.575928497,0.625479924,-0.575928497,1.774946576,-1.48548409,2.340118235,WhitePure
-0.415506463,-0.278488788,-0.448600467,-0.409077011,0.403513984,-0.409077011,0.914721947,-0.325790584,2.092260001,WhitePure
1.218968576,1.246555796,1.053390998,1.398480745,-0.01159115,1.398480745,0.657168517,-0.042909024,0.593877192,WhitePure
1.749490621,1.754903991,1.353789291,2.010269524,0.227044169,2.010269524,1.057441996,0.006457838,0.691938888,WhitePure
-0.010029632,0.229859407,-0.448600467,-0.070739277,1.418215423,-0.070739277,-0.183301654,0.780056537,0.946784064,WhitePure
0.49015139,0.484033504,0.452594412,0.466893286,-0.129204271,0.466893286,0.835346013,0.091133595,1.568953817,WhitePure
0.136470002,-0.024314691,0.152196119,-0.070739277,-0.424268768,-0.070739277,0.7476966,-1.362001372,2.041505923,WhitePure
0.313310691,0.229859407,0.452594412,0.262963693,-0.560452383,0.262963693,-0.772918525,1.193514798,0.462511262,WhitePure
0.968878023,0.992381699,0.752992705,1.111125409,0.137758845,1.111125409,0.71694704,0.337200029,1.268285335,WhitePure
-0.217211417,0.229859407,-0.448600467,-0.376633667,1.418215423,-0.376633667,-0.201927599,0.697761032,1.630595128,WhitePure
-0.061825086,-0.024314691,-0.148202174,-0.112452149,0.206210927,-0.112452149,0.361926435,0.594408262,1.449634348,WhitePure
-0.488756286,-0.278488788,-0.74899876,-0.585198023,1.164540063,-0.585198023,1.161904473,-0.443981333,1.843738114,WhitePure
1.020673499,0.992381699,0.752992705,1.060143011,0.137758845,1.060143011,-0.168647836,0.526550615,0.892988238,WhitePure
0.91708259,0.992381699,0.752992705,0.91183058,0.137758845,0.91183058,0.008182118,0.310677164,0.84139669,WhitePure
1.572649954,1.500729894,1.353789291,1.824878985,-0.147954189,1.824878985,0.592922216,-0.357982304,-0.022969871,WhitePure
-0.18687031,-0.024314691,-0.448600467,-0.237590763,0.910864703,-0.237590763,0.833869139,0.007500561,1.644040383,WhitePure
1.344013821,1.246555796,1.353789291,1.616314629,-0.522952547,1.616314629,0.1172486,0.686362417,0.577864988,WhitePure
0.947423666,0.992381699,0.452594412,0.976717269,0.733291952,0.976717269,-0.13635475,0.157867717,-0.29448119,WhitePure
0.240060869,0.229859407,0.152196119,0.216616058,0.029676612,0.216616058,1.095418398,0.001919312,1.356050453,WhitePure
-0.36371103,-0.532662885,-0.148202174,-0.36736414,-0.75211821,-0.36736414,0.596401094,0.111597326,1.406743706,WhitePure
0.968878055,0.738207602,1.053390998,0.953543451,-0.795678625,0.953543451,-0.155755259,0.619616755,0.082180889,WhitePure
0.792037356,0.738207602,0.752992705,0.833039601,-0.272953642,0.833039601,-0.006218588,0.580078934,0.325738062,WhitePure
1.292218367,1.080595662,1.548587726,1.342863583,-1.069575564,1.342863583,0.244987017,0.615019058,0.054469129,WhitePure
0.6669921,0.738207602,0.452594412,0.81913531,0.30204384,0.81913531,0.3145502,-0.177951337,-0.495355287,WhitePure
0.115015613,-0.024314691,0.152196119,0.119286025,-0.424268768,0.119286025,0.044110494,1.326915737,0.65980344,WhitePure
