perimeter,dimA,dimB,Roundness,AspectRatio,area,meanH,meanS,meanV,SeedType,,A,13.61499978,2.086118311,PerimeterDimA,,DimB,Roundness,AspectRatio,Area,MeanH,MeanS,MeanV
16.13017353,5.128205128,5.057471264,251.2618456,1.013986014,19.99478237,0.918770344,4.090777577,5.213815552,WhitePure,,,,,1.205671672,1.246555796,1.053390998,1.241274113,-0.01159115,1.241274113,0.278014803,0.198931643,-0.172864007
14.6123848,4.615384615,4.597701149,204.5779813,1.003846154,16.27979848,0.968986784,3.818061674,5.865814978,WhitePure,,,,,0.478105684,0.484033504,0.452594412,0.361131324,-0.129204271,0.361131324,1.010550636,-0.296568067,0.545887827
13.24714158,4.273504274,4.137931034,169.6261876,1.032763533,13.49842312,0.943641161,4.438416887,6.070395778,WhitePure,,,,,-0.176336211,-0.024314691,-0.148202174,-0.297823749,0.206210927,-0.297823749,0.640819588,0.830560292,0.771413831
14.87279619,4.786324786,4.597701149,214.1102886,1.041025641,17.0383554,0.893248945,4.875611814,5.354177215,WhitePure,,,,,0.60293628,0.738207602,0.452594412,0.540846343,0.30204384,0.540846343,-0.094280379,1.624903262,-0.018131964
13.98369613,4.444444444,4.367816092,191.62382,1.01754386,15.24893908,0.838591549,4.93286385,5.906666667,WhitePure,,,,,0.176737988,0.229859407,0.152196119,0.11690322,0.029676612,0.11690322,-0.891598958,1.728924944,0.590921955
15.60935075,5.128205128,4.597701149,237.5744299,1.115384615,18.90557243,0.958778626,3.991679389,5.436641221,WhitePure,,,,,0.95601048,1.246555796,0.452594412,0.983221777,1.164540063,0.983221777,0.861638416,0.018879352,0.072774796
11.9897642,3.931623932,3.67816092,137.3629934,1.068910256,10.9309997,0.941548387,3.787354839,5.982322581,WhitePure,,,,,-0.779071624,-0.532662885,-0.74899876,-0.90608997,0.625479924,-0.90608997,0.610291103,-0.352359563,0.674323604
12.98673025,4.102564103,4.137931034,169.3817694,0.991452991,13.47897294,1.049312169,3.126878307,6.458941799,WhitePure,,,,,-0.301166775,-0.278488788,-0.148202174,-0.302431827,-0.272953642,-0.302431827,2.182302802,-1.552384669,1.199739613
13.20246204,4.273504274,3.908045977,168.4040969,1.093514329,13.40117223,1.056870027,3.930822281,6.586949602,WhitePure,,,,,-0.197753758,-0.024314691,-0.448600467,-0.320864137,0.910864703,-0.320864137,2.292553572,-0.091692416,1.340852994
13.57073934,4.273504274,4.137931034,183.0691852,1.032763533,14.56818287,0.943921569,4.133627451,5.713039216,WhitePure,,,,,-0.021216648,-0.024314691,-0.148202174,-0.044379491,0.206210927,-0.044379491,0.644910054,0.276785923,0.377470716
12.72631877,4.102564103,3.908045977,157.4052807,1.049773756,12.52591425,0.897790368,4.617223796,5.980169972,WhitePure,,,,,-0.425997414,-0.278488788,-0.448600467,-0.528227621,0.403513984,-0.528227621,-0.028032052,1.155435999,0.671950608
14.30729396,4.615384615,4.137931034,197.2454371,1.115384615,15.69629316,0.939954442,4.779225513,5.630068337,WhitePure,,,,,0.331857583,0.484033504,-0.148202174,0.222889001,1.164540063,0.222889001,0.587039316,1.449778217,0.286005189
12.72631882,4.102564103,3.908045977,157.894117,1.049773756,12.5648146,1.073672316,3.297062147,6.686214689,WhitePure,,,,,-0.425997393,-0.278488788,-0.448600467,-0.519011466,0.403513984,-0.519011466,2.537658148,-1.243176285,1.450280948
14.93598256,4.615384615,4.597701149,215.5767975,1.003846154,17.15505647,0.945774059,3.985188285,5.891799163,WhitePure,,,,,0.633225247,0.484033504,0.452594412,0.568494808,-0.129204271,0.568494808,0.671933381,0.007085611,0.574532301
14.72025075,4.615384615,4.597701149,211.6661073,1.003846154,16.84385363,0.92673774,4.415095949,5.244776119,WhitePure,,,,,0.529812219,0.484033504,0.452594412,0.494765569,-0.129204271,0.494765569,0.394239752,0.788188293,-0.138733663
13.61541883,4.342183178,4.308428693,175.4922229,1.007834523,13.96522737,1.099897959,3.341734694,6.674183673,WhitePure,,,,,0.000200878,0.077805241,0.07459267,-0.187229891,-0.082942826,-0.187229891,2.920226544,-1.162010377,1.437018184
16.60631676,5.299145299,5.057471264,269.5932059,1.047785548,21.45354567,0.899324324,4.666216216,4.726891892,WhitePure,,,,,1.433915307,1.500729894,1.053390998,1.586879921,0.380452588,1.586879921,-0.005655361,1.244450721,-0.709639438
15.97762809,5.128205128,4.827586207,245.3958103,1.062271062,19.52797811,0.965619224,3.911275416,5.860628466,WhitePure,,,,,1.132547611,1.246555796,0.752992705,1.130680255,0.548471332,1.130680255,0.961426113,-0.127207272,0.540170314
13.13927561,4.102564103,4.367816092,167.4264243,0.939271255,13.32337152,0.996363636,3.623101604,6.328342246,WhitePure,,,,,-0.228042757,-0.278488788,0.152196119,-0.339296446,-0.878214149,-0.339296446,1.40991238,-0.650792581,1.055769137
14.56770524,4.444444444,4.597701149,213.1326161,0.966666667,16.96055469,0.948050847,3.609491525,5.87059322,WhitePure,,,,,0.456688127,0.229859407,0.452594412,0.522414034,-0.560452383,0.522414034,0.705146198,-0.675520843,0.551155271
12.77099833,4.102564103,4.137931034,158.6273714,0.991452991,12.62316513,0.925971831,4.557295775,5.951661972,WhitePure,,,,,-0.404579856,-0.278488788,-0.148202174,-0.505187234,-0.272953642,-0.505187234,0.383067003,1.046552297,0.640523929
17.01927359,5.47008547,5.287356322,291.3464202,1.034559643,23.18461146,0.935572998,4.516169545,5.272276295,WhitePure,,,,,1.631869964,1.754903991,1.353789291,1.996998812,0.227044169,1.996998812,0.523124704,0.97182972,-0.108417989
13.72328472,4.273504274,4.367816092,188.9352205,0.978407557,15.03498713,0.989619048,3.991333333,6.380666667,WhitePure,,,,,0.051907382,-0.024314691,0.152196119,0.066214368,-0.424268768,0.066214368,1.311525221,0.0182506,1.113450588
14.76493026,4.615384615,4.827586207,214.3547068,0.956043956,17.05780558,0.871729958,4.523122363,4.928270042,WhitePure,,,,,0.551229756,0.484033504,0.752992705,0.545454421,-0.683666129,0.545454421,-0.40819011,0.984462351,-0.487643975
